"","Emergency","ApplyLeadTime","STG","Service","DIA","Length","Pass","Sch","Material","Weight","MemberCount","JointCount","Making_Co","MakingLT"
"17198","1","정상","30","FWH",2,3051,"B","S-160","CS",14305,2,1,"건일산업(주)",22
"17199","1","정상","30","FWH",8,547,"B","S-20","CS",21924,6,5,"건일산업(주)",19
"17201","1","정상","30","FWH",2,3051,"B","S-160","CS",14305,2,1,"성일SIM함안공장",19
"17202","1","정상","40","FWH",8,407,"B","S-20","CS",5162,6,5,"(주)성광테크",24
"17203","1","정상","30","FWH",8,5273,"B","S-20","CS",18730,3,2,"건일산업(주)",22
"17204","1","정상","40","FWH",8,2689,"B","S-20","CS",4146,3,2,"(주)성광테크",24
"17205","1","정상","30","FWL",8,238,"B","S-20","CS",19927,3,2,"건일산업(주)",19
"17206","1","정상","30","FWL",8,2180,"B","S-20","CS",14640,3,2,"건일산업(주)",22
"17207","1","정상","40","FWL",8,3351,"B","S-20","CS",5174,3,2,"(주)성광테크",24
"17208","0","정상","30","PG",2,146,"A","S-XXS","CS",9443,7,9,"건일산업(주)",33
"17209","1","정상","40","PG",2,4795,"A","S-XXS","CS",9271,5,4,"건일산업(주)",25
"17212","1","정상","50","AU",1,3072,"B","S-80","CS",11278,5,4,"건일산업(주)",22
"17213","1","정상","50","N",1,491,"B","S-80","CS",3729,6,5,"성일SIM함안공장",15
"17214","1","정상","50","N",1,1055,"B","S-80","CS",1032,3,2,"성일SIM함안공장",14
"17215","1","정상","50","N",1,3072,"B","S-80","CS",11452,7,6,"건일산업(주)",22
"17216","1","정상","50","N",0.75,1023,"B","S-80","CS",977,2,1,"성일SIM함안공장",14
"17217","1","정상","30","PG",2,987,"B","S-XXS","CS",16648,6,5,"건일산업(주)",22
"17218","1","정상","30","FWH",2,4905,"B","S-160","CS",3352,3,2,"건일산업(주)",22
"17219","1","정상","30","FWH",2,4891,"B","S-160","CS",4335,8,7,"성일SIM함안공장",28
"17220","1","준긴급","30","PG",4,5058,"A","S-160","CS",15325,3,2,"성일SIM함안공장",11
"17221","1","준긴급","30","PG",4,4952,"A","S-160","CS",15127,3,2,"성일SIM함안공장",11
"17222","1","정상","40","PG",4,1447,"B","S-160","CS",21077,5,4,"성일SIM함안공장",31
"17223","1","준긴급","30","PG",4,166,"B","S-160","CS",19956,9,8,"건일산업(주)",25
"17224","1","준긴급","30","PG",4,4764,"B","S-160","CS",15286,5,4,"성일SIM함안공장",11
"17227","1","정상","30","WD",1,2087,"A","S-80S","SS",1124,3,2,"건일산업(주)",19
"17228","1","정상","30","WD",1,3911,"A","S-80S","SS",1127,1,0,"건일산업(주)",18
