"","Emergency","ApplyLeadTime","STG","Service","DIA","Length","Pass","Sch","Material","Weight","MemberCount","JointCount","Making_Co","After2_Co","PaintingLT"
"2004","1","정상","30","AU",2,4638,"B","S-80","CS",17285,4,3,"건일산업(주)","건일산업(주)",28
"2005","1","정상","30","AU",2,1722,"B","S-80","CS",10400,4,3,"건일산업(주)","건일산업(주)",28
"2006","1","정상","30","N",2,4638,"B","S-80","CS",17285,4,3,"건일산업(주)","건일산업(주)",28
"2007","1","정상","40","CWR",6,3825,"B","S-40","CS",5583,5,4,"건일산업(주)","건일산업(주)",26
"2009","1","정상","30","CWR",6,297,"B","S-40","CS",19596,5,4,"건일산업(주)","건일산업(주)",29
"2011","1","정상","30","N",1,3884,"A","S-80","CS",7174,3,2,"건일산업(주)","건일산업(주)",26
"2021","1","정상","30","CWR",1,4917,"A","S-80","CS",1022,2,1,"건일산업(주)","건일산업(주)",33
"2022","1","정상","30","CWR",4,3095,"A","S-40","CS",5416,6,5,"건일산업(주)","건일산업(주)",21
"2023","1","정상","30","CWR",1,4917,"A","S-80","CS",1022,2,1,"건일산업(주)","건일산업(주)",33
"2024","1","정상","30","CWR",4,571,"B","S-40","CS",14461,4,3,"건일산업(주)","건일산업(주)",31
"2026","1","준긴급","30","AU",1,2822,"B","S-80","CS",4872,4,3,"(주)성광테크","(주)성광테크",20
"2027","1","준긴급","40","N",1,1444,"B","S-80","CS",5533,6,5,"(주)성광테크","(주)성광테크",20
"2028","1","준긴급","30","N",1,2822,"B","S-80","CS",4872,4,3,"(주)성광테크","(주)성광테크",20
"2029","1","정상","30","N",1,4274,"B","S-80","CS",9114,4,3,"건일산업(주)","건일산업(주)",28
"2031","1","최소","30","DH",2,856,"B","S-80","CS",11891,6,5,"건일산업(주)","삼녹",30
"2032","1","정상","30","CWR",1,1,"A","S-80","CS",21322,4,0,"건일산업(주)","건일산업(주)",26
"2033","1","정상","40","DHW",6,1,"A","S-40","CS",21009,7,6,"건일산업(주)","삼녹",23
"2034","1","정상","30","N",2,1,"A","S-80","CS",7604,5,0,"(주)성광테크","(주)성광테크",20
"2035","1","정상","30","N",4,1,"A","S-40","CS",13921,6,5,"(주)성광테크","삼녹",25
"2036","1","정상","30","N",4,1,"A","S-40","CS",13948,6,5,"(주)성광테크","삼녹",25
"2038","1","정상","40","DHW",8,1,"B","S-20","CS",6622,6,5,"건일산업(주)","삼녹",23
"2039","1","정상","40","DHW",8,1,"B","S-20","CS",9971,6,5,"건일산업(주)","삼녹",24
"2040","1","정상","50","PW",2,4373,"A","S-10S","SS",8428,1,0,"건일산업(주)","하이에어",20
"2041","1","정상","50","WD",1,2766,"A","S-80S","SS",5201,4,2,"건일산업(주)","하이에어",20
"2043","1","정상","50","VA",2,3660,"A","S-10S","SS",5913,1,0,"건일산업(주)","하이에어",20
"2046","1","정상","30","VA",2,915,"B","S-10S","SS",7868,7,5,"건일산업(주)","건일산업(주)",24
"2047","1","정상","50","DM",0.75,4917,"B","S-80S","SS",953,2,1,"건일산업(주)","하이에어",22
