"","Emergency","ApplyLeadTime","STG","Service","DIA","Length","Pass","Sch","Material","Weight","MemberCount","JointCount","Making_Co","MakingLT"
"12300","1","정상","40","WD",0.75,5225,"A","S-80S","SS",974,2,1,"삼성중공업(주)거제",48
"12301","1","정상","40","WD",2,4638,"A","S-10S","SS",13453,10,7,"삼성중공업(주)거제",63
"12302","1","정상","40","WD",2,1603,"A","S-10S","SS",6016,6,5,"삼성중공업(주)거제",63
"12303","0","정상","50","VA",1,4638,"B","S-80S","SS",8365,2,0,"삼성중공업(주)거제",32
"12304","0","정상","50","VA",1,4638,"B","S-80S","SS",8365,2,0,"삼성중공업(주)거제",32
"12305","1","정상","50","WD",1,5182,"B","S-80S","SS",18175,6,5,"삼성중공업(주)거제",36
"12306","0","정상","50","WD",1,4522,"B","S-80S","SS",9538,6,4,"삼성중공업(주)거제",52
"12307","1","정상","50","WD",1,3911,"B","S-80S","SS",1127,1,0,"건일산업(주)",19
"12308","0","정상","50","VA",2,4638,"B","S-10S","SS",10521,3,1,"삼성중공업(주)거제",32
"12309","0","정상","50","VA",2,4638,"B","S-10S","SS",10521,3,1,"삼성중공업(주)거제",32
"12310","0","정상","50","VA",2,4638,"B","S-10S","SS",10521,3,1,"삼성중공업(주)거제",32
"12311","0","정상","50","VA",2,4638,"B","S-10S","SS",10521,3,1,"삼성중공업(주)거제",32
"12312","0","정상","50","VA",2,4638,"B","S-10S","SS",10521,3,1,"삼성중공업(주)거제",32
"12313","0","정상","50","VA",2,4638,"B","S-10S","SS",10521,3,1,"삼성중공업(주)거제",32
"12314","1","정상","50","WD",2,413,"B","S-10S","SS",3962,6,5,"삼성중공업(주)거제",22
"12315","1","정상","50","WD",2,4422,"B","S-10S","SS",8706,2,1,"건일산업(주)",15
"12316","1","정상","50","VA",0.5,4373,"A","S-80S","SS",5242,5,2,"삼성중공업(주)거제",39
"12317","1","정상","50","VA",0.5,4373,"A","S-80S","SS",5242,5,2,"삼성중공업(주)거제",36
"12318","1","정상","50","VA",0.75,4373,"A","S-80S","SS",8119,5,2,"삼성중공업(주)거제",35
"12319","1","정상","50","VA",0.75,4373,"A","S-80S","SS",8119,5,2,"삼성중공업(주)거제",35
"12320","1","정상","50","VA",1,4373,"A","S-80S","SS",9857,5,2,"삼성중공업(주)거제",46
"12321","1","정상","40","WD",1,1084,"A","S-80S","SS",1284,4,3,"삼성중공업(주)거제",48
"12322","1","정상","40","WD",1,992,"A","S-80S","SS",2186,4,2,"건일산업(주)",14
"12323","1","정상","40","WD",1,3911,"A","S-80S","SS",1127,1,0,"건일산업(주)",19
"12324","1","정상","40","DM",2,3871,"A","S-10S","SS",11905,8,7,"삼성중공업(주)거제",28
"12325","1","정상","40","DM",0.5,4917,"A","S-80S","SS",1060,2,1,"건일산업(주)",19
"12326","1","정상","40","DM",2,370,"A","S-10S","SS",12948,11,10,"삼성중공업(주)거제",28
"12327","1","정상","40","DM",2,3102,"A","S-10S","SS",12632,10,9,"삼성중공업(주)거제",28
"12328","1","정상","40","DM",0.5,4917,"A","S-80S","SS",1060,2,1,"삼성중공업(주)거제",48
"12329","1","정상","40","DM",2,4624,"A","S-10S","SS",7515,7,6,"삼성중공업(주)거제",74
"12330","1","정상","40","DM",0.75,4950,"A","S-80S","SS",1149,2,1,"삼성중공업(주)거제",48
"12331","1","정상","40","DM",2,3102,"A","S-10S","SS",12632,10,9,"삼성중공업(주)거제",22
"12332","1","정상","40","DM",0.5,4917,"A","S-80S","SS",1060,2,1,"삼성중공업(주)거제",48
"12333","1","정상","40","DM",2,4624,"A","S-10S","SS",7515,7,6,"삼성중공업(주)거제",60
"12334","1","정상","40","DM",0.75,4950,"A","S-80S","SS",1149,2,1,"삼성중공업(주)거제",48
"12335","1","정상","40","DM",2,3871,"A","S-10S","SS",11905,8,7,"삼성중공업(주)거제",22
"12336","1","정상","40","DM",0.5,4917,"A","S-80S","SS",1060,2,1,"삼성중공업(주)거제",48
"12337","1","정상","40","DM",2,371,"A","S-10S","SS",12949,11,10,"삼성중공업(주)거제",22
"12338","1","정상","40","DM",0.75,4950,"A","S-80S","SS",1149,2,1,"삼성중공업(주)거제",48
"12339","1","정상","40","DM",1.5,1030,"A","S-80S","SS",11419,2,1,"건일산업(주)",19
"12340","1","정상","40","DM",0.5,4917,"A","S-80S","SS",1060,2,1,"삼성중공업(주)거제",48
"12341","1","정상","40","DM",0.5,4917,"A","S-80S","SS",1060,2,1,"건일산업(주)",19
"12342","1","정상","40","DM",3,2159,"A","S-10S","SS",8270,6,5,"삼성중공업(주)거제",36
"12343","1","정상","40","DM",3,1,"A","S-10S","SS",5485,2,1,"건일산업(주)",30
"12344","1","정상","40","DM",0.75,4950,"A","S-80S","SS",1149,2,1,"삼성중공업(주)거제",48
"12345","1","정상","40","DM",3,2159,"A","S-10S","SS",8270,6,5,"삼성중공업(주)거제",60
"12346","1","정상","40","DM",3,1,"A","S-10S","SS",5485,2,1,"건일산업(주)",30
"12347","1","정상","40","DM",0.75,4950,"A","S-80S","SS",1149,2,1,"삼성중공업(주)거제",48
"12348","1","정상","40","DM",0.75,4950,"A","S-80S","SS",1149,2,1,"삼성중공업(주)거제",48
"12349","1","정상","40","DM",1.5,2120,"A","S-80S","SS",14093,5,4,"삼성중공업(주)거제",68
