"","block_group","block_location","ship_type","weight","business","workday_plan","workday_record"
"288","C","C","BC4",7,"CorpSDmasan",4,4
"289","C","C","BC4",7,"CorpSDmasan",4,4
"290","C","C","BC4",7,"CorpSDmasan",4,14
"291","C","C","BC4",7,"CorpSDmasan",4,14
"292","C","C","BC4",7,"CorpSDmasan",4,15
"293","C","C","BC4",7,"CorpSDmasan",4,15
"294","C","C","BC4",6,"CorpSDmasan",4,13
"295","C","C","BC4",6,"CorpSDmasan",4,13
"296","D","C","BC4",49,"CorpSDsacheon",5,7
"297","D","C","BC4",65,"CorpSDsacheon",5,19
"298","D","C","BC4",68,"CorpSDsacheon",5,16
"300","D","C","BC4",65,"DHMC",5,17
"301","D","C","BC4",65,"DHMC",5,11
"302","D","C","BC4",63,"DHMC",5,13
"303","D","C","BC4",49,"DHMC",5,12
"305","D","S","BC4",30,"2YARD",5,22
"306","D","S","BC4",33,"2YARD",5,14
"307","D","P","BC4",34,"1YARD",5,30
"308","D","S","BC4",34,"1YARD",5,30
"309","D","P","BC4",40,"1YARD",5,30
"310","D","S","BC4",40,"1YARD",5,30
"313","D","P","BC4",38,"1YARD",5,30
"314","D","S","BC4",38,"1YARD",5,30
"315","D","P","BC4",40,"1YARD",5,30
"316","D","S","BC4",40,"1YARD",5,30
"319","D","P","BC4",29,"1YARD",5,30
"320","D","S","BC4",33,"1YARD",5,30
"321","D","P","BC4",41,"1YARD",5,30
"322","D","S","BC4",45,"1YARD",5,30
"325","D","P","BC4",34,"2YARD",5,20
"326","D","S","BC4",34,"2YARD",5,29
"327","D","P","BC4",45,"2YARD",5,17
"328","D","S","BC4",45,"2YARD",5,18
"329","D","P","BC4",82,"2YARD",5,21
"330","D","S","BC4",82,"2YARD",5,17
"332","D","P","BC4",40,"2YARD",5,18
"333","D","S","BC4",40,"2YARD",5,22
"334","D","P","BC4",80,"2YARD",5,17
"335","D","S","BC4",80,"2YARD",5,21
"336","D","P","BC4",37,"1YARD",5,29
"337","D","S","BC4",35,"1YARD",5,29
"338","D","P","BC4",37,"1YARD",5,29
"339","D","P","BC4",35,"1YARD",5,23
"340","D","S","BC4",45,"1YARD",5,23
"341","D","P","BC4",45,"1YARD",5,23
"342","D","S","BC4",55,"1YARD",5,32
"343","D","P","BC4",95,"1YARD",5,32
"344","D","S","BC4",75,"1YARD",5,32
"345","D","P","BC4",35,"2YARD",5,1
"346","D","S","BC4",35,"2YARD",5,18
"347","D","S","BC4",49,"2YARD",5,2
"348","D","S","BC4",92,"2YARD",5,13
"349","D","S","BC4",33,"2YARD",5,22
"350","D","S","BC4",40,"2YARD",5,2
"351","D","S","BC4",82,"2YARD",5,21
"352","D","P","BC4",35,"2YARD",5,1
"353","D","S","BC4",35,"2YARD",5,17
"354","D","P","BC4",40,"2YARD",5,2
"355","D","S","BC4",40,"2YARD",5,4
"356","D","P","BC4",84,"2YARD",5,15
"357","D","S","BC4",84,"2YARD",5,1
"358","D","P","BC4",30,"2YARD",5,2
"359","D","S","BC4",30,"2YARD",5,2
"360","D","P","BC4",33,"2YARD",5,4
"361","D","S","BC4",33,"2YARD",5,15
"362","D","P","BC4",70,"2YARD",5,14
"363","D","S","BC4",70,"2YARD",5,1
"364","D","P","BC4",36,"1YARD",5,8
"365","D","S","BC4",35,"1YARD",5,8
"366","D","P","BC4",30,"1YARD",5,8
"367","D","S","BC4",30,"1YARD",5,8
"368","D","P","BC4",65,"1YARD",5,8
"369","D","S","BC4",66,"1YARD",5,8
"370","D","P","BC4",30,"1YARD",5,8
"371","D","S","BC4",30,"1YARD",5,21
"372","D","P","BC4",35,"1YARD",5,14
"373","D","S","BC4",35,"1YARD",5,14
"374","D","P","BC4",25,"1YARD",5,14
"375","D","S","BC4",25,"1YARD",5,14
"376","D","P","BC4",50,"1YARD",5,14
"377","D","S","BC4",50,"1YARD",5,18
