,DIA,Length,Weight,MemberCount,JointCount,Emergency,ApplyLeadTime,BLOCK,STG,Service,NO_Serial,Problem,NO_Base,NO_SetPLT,Pass,Sch,Material,Making_Co,After2_Co,Distribution,PaintingLT
56,2.0,2274,26.594,2,1,1,준긴급,C020B,3B,CDW,60.0,기타,SN2126TC020BPP03B0,PP039A1104,B,S-160,CS,건일산업(주),건일산업(주),조선물류,22.0
57,0.75,79,1.074,2,1,1,정상,C020B,3B,N,60.0,LT부족,SN2126TC020BPP03B0,PP039A1105,B,S-80,CS,건일산업(주),건일산업(주),조선물류,23.0
58,4.0,11398,208.297,7,6,1,정상,C020B,3B,AI,60.0,LT부족,SN2126TC020BPP03B0,PP039A1104,B,S-40,CS,건일산업(주),건일산업(주),조선물류,15.0
59,2.0,5224,59.369,2,1,1,준긴급,C020B,3B,CDW,60.0,기타,SN2126TC020BPP03B0,PP039A1104,B,S-160,CS,건일산업(주),건일산업(주),조선물류,17.0
60,0.75,123,1.171,2,1,1,정상,C020B,3B,AU,60.0,LT부족,SN2126TC020BPP03B0,PP039A1105,B,S-80,CS,건일산업(주),건일산업(주),조선물류,23.0
61,1.0,5510,25.06,5,4,1,정상,C020A,50,AU,40.0,제작지연,SN2126T0C100PP0500,PP058A1105,A,S-80,CS,(주)성광테크,(주)성광테크,조선물류,12.0
62,2.0,6000,49.35,2,1,1,정상,C020A,50,AU,40.0,제작지연,SN2126T0C100PP0500,PP058A1104,A,S-80,CS,건일산업(주),건일산업(주),조선물류,17.0
63,1.5,2136,50.591,8,7,1,준긴급,C020B,50,MT,50.0,LT부족,SN2126T0C200PP0500,PP058A1105,B,S-XXS,SS,건일산업(주),하이에어,조선물류,9.0
64,1.5,1736,49.688,8,7,1,준긴급,C020B,50,CT,50.0,LT부족,SN2126T0C200PP0500,PP058A1105,B,S-XXS,SS,건일산업(주),하이에어,조선물류,9.0
65,1.5,4536,66.057,7,6,1,정상,C020B,3B,CI,50.0,LT부족,SN2126TC020BPP03B0,PP039A1105,B,S-XXS,SS,건일산업(주),하이에어,조선물류,8.0
66,1.0,2852,19.937,10,9,1,준긴급,C020B,50,WD,50.0,LT부족,SN2126T0C200PP0500,PP058A1105,B,S-80S,SS,건일산업(주),하이에어,조선물류,11.0
67,1.5,6000,71.656,4,3,1,정상,C020B,3B,CT,50.0,LT부족,SN2126TC020BPP03B0,PP039A1105,B,S-XXS,SS,건일산업(주),하이에어,조선물류,11.0
68,1.0,3502,20.934,7,6,1,정상,C020B,3B,WD,50.0,LT부족,SN2126TC020BPP0300,PP039A1105,B,S-80S,SS,건일산업(주),건일산업(주),조선물류,16.0
69,1.5,2876,41.861999999999995,4,3,1,정상,C020B,3B,CI,50.0,LT부족,SN2126TC020BPP03B0,PP039A1105,B,S-XXS,SS,건일산업(주),하이에어,조선물류,9.0
70,1.5,6000,70.166,4,3,1,정상,C020B,3B,MT,50.0,LT부족,SN2126TC020BPP03B0,PP039A1105,B,S-XXS,SS,건일산업(주),하이에어,조선물류,11.0
71,3.0,1890,53.19,1,0,1,준긴급,C020B,50,CM,50.0,제작지연,SN2126T0C200PP0500,PP05RA1104,B,S-XXS,SS,건일산업(주),하이에어,조선물류,11.0
72,1.5,2876,41.861999999999995,4,3,1,정상,C020B,3B,CT,50.0,LT부족,SN2126TC020BPP03B0,PP039A1105,B,S-XXS,SS,건일산업(주),하이에어,조선물류,8.0
73,1.5,1936,51.629,8,7,1,준긴급,C020B,50,CI,50.0,LT부족,SN2126T0C200PP0500,PP058A1105,B,S-XXS,SS,건일산업(주),하이에어,조선물류,9.0
74,1.5,6000,71.656,4,3,1,정상,C020B,3B,CI,50.0,LT부족,SN2126TC020BPP03B0,PP039A1105,B,S-XXS,SS,건일산업(주),하이에어,조선물류,11.0
75,1.5,2876,40.372,4,3,1,정상,C020B,3B,MT,50.0,LT부족,SN2126TC020BPP03B0,PP039A1105,B,S-XXS,SS,건일산업(주),하이에어,조선물류,9.0
