,After2_Co,ApplyLeadTime,BLOCK,DIA,Distribution,Emergency,JointCount,Length,Making_Co,Material,MemberCount,NO_Base,NO_Serial,NO_SetPLT,No_row,PaintingLT,Pass,Problem,STG,Sch,Service,Weight
65,하이에어,준긴급,C020B,3.0,조선물류,1.0,0.0,1890.0,건일산업(주),SS,1.0,SN2126T0C200PP0500,50.0,PP05RA1104,70,11.0,B,제작지연,50,S-XXS,CM,53.19
66,하이에어,정상,C020B,1.5,조선물류,1.0,3.0,2876.0,건일산업(주),SS,4.0,SN2126TC020BPP03B0,50.0,PP039A1105,71,8.0,B,LT부족,3B,S-XXS,CT,41.862
67,하이에어,준긴급,C020B,1.5,조선물류,1.0,7.0,1936.0,건일산업(주),SS,8.0,SN2126T0C200PP0500,50.0,PP058A1105,72,9.0,B,LT부족,50,S-XXS,CI,51.629
68,하이에어,정상,C020B,1.5,조선물류,1.0,3.0,6000.0,건일산업(주),SS,4.0,SN2126TC020BPP03B0,50.0,PP039A1105,73,11.0,B,LT부족,3B,S-XXS,CI,71.656
69,하이에어,정상,C020B,1.5,조선물류,1.0,3.0,2876.0,건일산업(주),SS,4.0,SN2126TC020BPP03B0,50.0,PP039A1105,74,9.0,B,LT부족,3B,S-XXS,MT,40.372
70,하이에어,정상,C020B,1.5,조선물류,1.0,6.0,4536.0,건일산업(주),SS,7.0,SN2126TC020BPP03B0,50.0,PP039A1105,75,9.0,B,LT부족,3B,S-XXS,CT,67.998
71,하이에어,정상,C020B,1.5,조선물류,1.0,6.0,4536.0,건일산업(주),SS,7.0,SN2126TC020BPP03B0,50.0,PP039A1105,76,8.0,B,LT부족,3B,S-XXS,MT,62.625
72,하이에어,준긴급,C020B,1.0,조선물류,1.0,1.0,1364.0,건일산업(주),SS,3.0,SN2126T0C200PP0500,50.0,PP05RA1105,77,11.0,B,제작지연,50,S-80S,WD,6.289
73,하이에어,준긴급,C020B,3.0,조선물류,1.0,5.0,2272.0,건일산업(주),SS,6.0,SN2126T0C200PP0500,50.0,PP058A1104,78,9.0,B,LT부족,50,S-XXS,CM,135.606
74,하이에어,준긴급,C020B,3.0,조선물류,1.0,2.0,2486.0,건일산업(주),SS,3.0,SN2126T0C200PP0500,50.0,PP058A1104,79,9.0,B,LT부족,50,S-XXS,CM,79.726
