,Emergency,ApplyLeadTime,STG,Service,DIA,Length,Pass,Sch,Material,Weight,MemberCount,JointCount,Making_Co,MakingLT
201,0.0,최소,3B,N,2.0,1248.0,A,S-80,CS,25.917,5.0,4.0,(주)성광테크,49.0
202,0.0,최소,3B,N,2.0,3625.0,A,S-80,CS,67.368,13.0,12.0,(주)성광테크,49.0
203,0.0,정상,40,PL,2.0,1793.0,A,S-160,CS,34.919000000000004,4.0,3.0,성일SIM함안공장,30.0
204,0.0,최소,40,PL,2.0,4208.0,A,S-160,CS,55.651,2.0,1.0,해승케이피피,56.0
205,0.0,정상,3B,PL,2.0,959.0,A,S-160,CS,11.984000000000002,2.0,1.0,성일SIM함안공장,42.0
207,0.0,정상,50,WM,2.0,2073.0,A,S-160,CS,44.375,6.0,5.0,성일SIM함안공장,45.0
209,0.0,정상,40,CM,3.0,1751.0,A,S-80,CS,29.478,2.0,1.0,성일SIM함안공장,30.0
210,0.0,최소,40,CM,3.0,4910.0,A,S-80,CS,84.156,2.0,1.0,해승케이피피,56.0
211,0.0,정상,40,WM,3.0,1750.0,A,S-80,CS,45.12300000000001,4.0,3.0,성일SIM함안공장,30.0
212,0.0,최소,40,WM,3.0,4911.0,A,S-80,CS,84.171,2.0,1.0,해승케이피피,56.0
213,0.0,최소,40,CM,4.0,4885.0,A,S-40,CS,87.73100000000002,2.0,1.0,해승케이피피,56.0
214,0.0,정상,40,CM,4.0,1700.0,A,S-40,CS,46.87,4.0,3.0,성일SIM함안공장,42.0
215,0.0,최소,40,CM,4.0,4885.0,A,S-40,CS,87.73100000000002,2.0,1.0,해승케이피피,56.0
216,0.0,정상,40,CM,4.0,1700.0,A,S-40,CS,31.176,2.0,1.0,성일SIM함안공장,42.0
217,0.0,정상,3B,CM,4.0,1539.0,A,S-40,CS,48.435,5.0,4.0,성일SIM함안공장,58.0
218,0.0,정상,40,CM,4.0,2696.0,A,S-40,CS,64.281,5.0,4.0,성일SIM함안공장,42.0
219,0.0,정상,40,CM,4.0,625.0,A,S-40,CS,37.449,6.0,4.0,성일SIM함안공장,30.0
220,0.0,정상,40,PA,6.0,1595.0,A,S-40,CS,75.765,4.0,3.0,성일SIM함안공장,50.0
222,1.0,정상,40,VA,4.0,0.0,A,S-40,CS,45.812,6.0,5.0,(주)성광테크,17.0
223,1.0,최소,50,VA,6.0,0.0,A,S-40,CS,70.442,4.0,3.0,건일산업(주),13.0
224,0.0,정상,40,VA,6.0,0.0,A,S-40,CS,51.703,7.0,6.0,(주)성광테크,26.0
226,1.0,정상,40,VA,6.0,0.0,A,S-40,CS,114.302,4.0,2.0,(주)성광테크,35.0
229,0.0,정상,3B,WD,2.0,654.0,A,S-10S,SS,3.094,2.0,1.0,삼성중공업(주)거제,23.0
230,0.0,정상,40,WD,3.0,1751.0,A,S-10S,SS,11.294,1.0,0.0,삼성중공업(주)거제,24.0
232,0.0,최소,40,DM,2.0,2368.0,A,S-10S,SS,12.718,5.0,2.0,성일,39.0
233,0.0,정상,40,CM,3.0,1740.0,A,S-10S,SS,22.523000000000003,5.0,3.0,삼성중공업(주)거제,38.0
234,0.0,정상,40,WD,3.0,1751.0,A,S-10S,SS,11.294,1.0,0.0,삼성중공업(주)거제,24.0
236,0.0,최소,40,PL,4.0,3123.0,A,S-10S,SS,64.976,9.0,8.0,삼성중공업(주)거제,51.0
237,1.0,정상,40,PW,2.0,506.0,A,S-10S,SS,8.732000000000001,5.0,4.0,건일산업(주),9.0
238,0.0,최소,40,PL,4.0,1652.0,A,S-10S,SS,28.328000000000007,4.0,3.0,삼성중공업(주)거제,50.0
239,0.0,정상,40,PL,4.0,3163.0,A,S-10S,SS,45.324,6.0,5.0,건일산업(주),18.0
240,1.0,최소,30,CM,3.0,725.0,A,S-10S,SS,4.759,1.0,0.0,건일산업(주),9.0
241,1.0,정상,40,CM,3.0,2393.0,A,S-10S,SS,21.978,4.0,3.0,삼성중공업(주)거제,27.0
242,1.0,정상,40,CM,3.0,150.0,A,S-10S,SS,13.905,5.0,4.0,삼성중공업(주)거제,31.0
243,1.0,정상,40,CM,3.0,497.0,A,S-10S,SS,21.677,9.0,8.0,삼성중공업(주)거제,37.0
244,1.0,최소,40,CM,3.0,725.0,A,S-10S,SS,4.759,1.0,0.0,건일산업(주),9.0
245,0.0,정상,3B,AI,2.0,1544.0,A,S-80,CS,30.876,7.0,6.0,성일SIM함안공장,45.0
246,0.0,정상,3B,AU,2.0,1544.0,A,S-80,CS,30.876,7.0,6.0,성일SIM함안공장,50.0
247,0.0,정상,40,HWR,2.0,6000.0,A,S-80,CS,50.53,2.0,1.0,(주)성광테크,36.0
249,0.0,정상,3B,N,2.0,1544.0,A,S-80,CS,30.876,7.0,6.0,성일SIM함안공장,30.0
